src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.27,192.168.1.1,59004,53,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:49:06,1330.3756713867188,255566.91039426523,3006.669534050179,1503.3347670250896,1503.3347670250896,2,2,148,192,74.0,74.0,74.0,0.0,102.0,90.0,96.0,6.0,102,74,85.0,11.789826122551595,139.0,16,16,8,2,443.45855712890625,739.8128509521484,154.73365783691406,238.9184955862264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,85.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,96.0,0,2,2,148,192
192.168.1.27,192.168.1.1,59045,53,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:49:06,18271.207809448242,25285.684713251125,218.9236771710054,109.4618385855027,109.4618385855027,2,2,158,304,79.0,79.0,79.0,0.0,178.0,126.0,152.0,26.0,178,79,115.5,40.86869217383889,1670.25,16,16,8,2,6090.402603149414,9645.223617553711,98.22845458984375,4261.595701600225,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,115.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,152.0,0,2,2,158,304
192.168.1.27,192.168.1.1,38847,53,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:49:06,6827.354431152344,68254.84229641012,585.8784746472971,292.93923732364857,292.93923732364857,2,2,180,286,90.0,90.0,90.0,0.0,149.0,137.0,143.0,6.0,149,90,116.5,26.837473800639284,720.25,16,16,8,2,2275.7848103841147,4172.086715698242,303.9836883544922,1580.0485976344653,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,116.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,143.0,0,2,2,180,286
192.168.1.27,142.250.203.206,50010,443,08:00:27:b1:9d:67,04:92:26:65:48:a0,6,2024-01-09 11:49:06,264693.9754486084,83730.65523096143,166.22969950648843,75.55895432113111,90.67074518535732,20,24,3191,18972,697.0,66.0,159.55,180.16117089983626,5666.0,66.0,790.5,1356.8861411334408,5666,66,503.70454545454544,1057.2198442472825,1117713.7990702484,400,480,20,9,6155.673847642056,87027.31132507324,0.0,16255.240283804204,264693.9754486084,99481.58264160156,185.25123596191406,13931.261865716231,25582.05702138855,257673.978805542,87027.31132507324,0.0,11203.216469806173,21840.512946738443,0,0,0,0,1,0,0,0,0,0,0,1.2,503.70454545454544,64240,274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2817.0,5.0,0.0,5907677184.0,159.55,790.5,0,20,24,3191,18972
192.168.1.27,142.250.203.206,50020,443,08:00:27:b1:9d:67,04:92:26:65:48:a0,6,2024-01-09 11:49:06,91153.62167358398,151217.2500326946,208.43933187907703,120.67540266683406,87.76392921224296,11,8,1502,12282,583.0,54.0,136.54545454545453,151.51919388546943,7066.0,66.0,1535.25,2473.0208627304382,7066,54,725.4736842105264,1750.793785940088,3065278.8808864267,220,160,20,4,5064.090092976888,27731.41860961914,0.2384185791015625,8329.200343357898,91153.62167358398,34789.8006439209,158.07151794433594,9115.362167358398,11438.704093758137,85223.19793701172,38083.07647705078,0.2384185791015625,12174.742562430245,13938.453150915135,0,0,0,0,1,0,0,0,0,0,0,0.7272727272727273,725.4736842105264,64240,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.54545454545453,1535.25,0,11,8,1502,12282
192.168.1.27,192.168.1.1,58371,53,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:49:06,25585.412979125977,17353.638198540717,156.3390828697362,78.1695414348681,78.1695414348681,2,2,176,268,88.0,88.0,88.0,0.0,140.0,128.0,134.0,6.0,140,88,111.0,23.388031127053,547.0,16,16,8,2,8528.470993041992,22854.80499267578,95.60585021972656,10183.156608705987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,111.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,134.0,0,2,2,176,268
192.168.1.27,142.250.186.194,52628,443,08:00:27:b1:9d:67,04:92:26:65:48:a0,6,2024-01-09 11:49:06,180158.13827514648,50239.19589009552,177.6217289231087,88.81086446155435,88.81086446155435,16,16,2262,6789,583.0,66.0,141.375,139.7814700702493,4391.0,66.0,424.3125,1038.6610201811513,4391,66,282.84375,754.4476087416127,569191.1943359375,320,320,20,8,5811.552847585371,56667.56629943848,0.0,11895.040344868165,180158.13827514648,56667.56629943848,407.93418884277344,12010.542551676432,17566.19731240246,173552.2747039795,62235.59379577637,0.0,11570.151646931967,17684.457025569383,0,0,0,0,1,0,0,0,0,0,0,1.0,282.84375,64240,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0,4.0,0.0,1583349760.0,141.375,424.3125,0,16,16,2262,6789
192.168.1.27,142.250.186.194,57789,443,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:49:06,74310.302734375,138110.0550308008,188.39917864476385,80.74250513347023,107.65667351129363,6,8,3254,7009,1399.0,73.0,542.3333333333334,606.1907473908046,1399.0,69.0,876.125,550.3920051881205,1399,69,733.0714285714286,598.226839953555,357875.3520408163,48,64,8,6,5716.177133413462,25571.584701538086,0.0,7057.789916293408,48738.718032836914,22709.131240844727,3662.3477935791016,9747.743606567383,6747.831775776394,67314.62478637695,26422.02377319336,0.0,9616.374969482422,11422.04690340552,0,0,0,0,1,0,0,0,0,0,0,1.3333333333333333,733.0714285714286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4550.0,4.0,0.0,9542041600.0,542.3333333333334,876.125,0,6,8,3254,7009
192.168.1.27,192.168.1.1,44654,53,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:49:06,32935.142517089844,14695.548979296365,121.45081801071377,60.72540900535689,60.72540900535689,2,2,170,314,85.0,85.0,85.0,0.0,163.0,151.0,157.0,6.0,163,85,121.0,36.24913792078372,1314.0,16,16,8,2,10978.380839029947,20852.327346801758,5765.676498413086,6985.563320684748,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,157.0,0,2,2,170,314
192.168.1.27,142.250.75.1,40224,443,08:00:27:b1:9d:67,04:92:26:65:48:a0,6,2024-01-09 11:49:06,101967.09632873535,117459.45928858191,215.75587412113234,127.49210743521456,88.26376668591777,13,9,1658,10319,583.0,66.0,127.53846153846153,140.81172120389115,4266.0,66.0,1146.5555555555557,1546.4799536087044,4266,66,544.4090909090909,1114.0536815485602,1241115.6053719008,260,180,20,4,4855.576015654065,47604.56085205078,0.0,10471.94985115972,100816.24984741211,47604.56085205078,70.33348083496094,8401.35415395101,13405.606546340776,95687.6277923584,54724.693298339844,0.0,11960.9534740448,17303.478932577756,0,0,0,0,1,0,0,0,0,0,0,0.6923076923076923,544.4090909090909,64240,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.53846153846153,1146.5555555555557,0,13,9,1658,10319
